episode,maze_seed,total_reward,steps,success,death,correct_kills,wrong_weapon_count,hit_wall_count,epsilon
282,82,88,32,True,False,2,0,0,0.24206491716205145
283,83,67,51,True,False,3,0,1,0.2408545925762412
284,84,45,71,True,False,3,0,1,0.23965031961336
285,85,40,84,True,False,3,0,0,0.2384520680152932
286,86,-50,1,False,True,0,0,0,0.23725980767521673
287,87,36,81,True,False,3,0,0,0.23607350863684065
288,88,-65,16,False,True,0,0,0,0.23489314109365644
289,89,90,19,True,False,1,0,0,0.23371867538818816
290,90,25,63,True,False,1,0,3,0.23255008201124722
291,91,-614,500,False,False,3,0,12,0.231387331601191
292,92,89,27,True,False,2,0,1,0.23023039494318503
293,93,-647,500,False,False,1,0,11,0.2290792429684691
294,94,96,16,True,False,1,0,0,0.22793384675362674
295,95,-30,118,True,False,2,1,1,0.22679417751985861
296,96,-3,85,True,False,1,0,1,0.22566020663225933
297,97,90,20,True,False,1,0,0,0.22453190559909803
298,98,60,40,True,False,1,0,0,0.22340924607110255
299,99,-115,185,True,False,2,0,5,0.22229219984074702
300,0,-56,7,False,True,0,0,0,0.2211807388415433
301,1,92,38,True,False,3,0,0,0.22007483514733558
302,2,-72,151,True,False,2,0,2,0.2189744609715989
303,3,84,25,True,False,1,0,0,0.2178795886667409
304,4,110,13,True,False,2,0,0,0.2167901907234072
305,5,51,42,True,False,1,1,2,0.21570623976979014
306,6,79,44,True,False,3,0,1,0.21462770857094118
307,7,88,22,True,False,1,0,0,0.21355457002808648
308,8,88,30,True,False,2,0,0,0.21248679717794605
309,9,-109,58,False,True,1,0,1,0.21142436319205632
310,10,26,86,True,False,3,0,2,0.21036724137609603
311,11,-289,313,True,False,3,1,8,0.20931540516921554
312,12,11,91,True,False,3,1,2,0.20826882814336947
313,13,34,57,True,False,1,0,2,0.20722748400265262
314,14,-54,125,True,False,2,0,4,0.20619134658263935
315,15,-13,99,True,False,3,0,5,0.20516038984972615
316,16,65,43,True,False,2,0,1,0.2041345879004775
317,17,98,13,True,False,1,0,0,0.2031139149609751
318,18,58,65,True,False,3,0,0,0.20209834538617025
319,19,100,32,True,False,3,0,0,0.2010878536592394
320,20,-63,177,True,False,3,0,1,0.2000824143909432
321,21,72,57,True,False,3,0,0,0.19908200231898848
322,22,28,85,True,False,2,0,0,0.19808659230739353
323,23,30,94,True,False,3,0,0,0.19709615934585656
324,24,102,24,True,False,3,0,2,0.19611067854912728
325,25,56,58,True,False,3,0,2,0.19513012515638165
326,26,-111,43,False,True,0,0,2,0.19415447453059972
327,27,90,11,True,False,0,0,0,0.19318370215794672
328,28,10,102,True,False,3,0,0,0.192217783647157
329,29,-127,208,True,False,3,0,5,0.1912566947289212
330,30,77,35,True,False,2,0,1,0.1903004112552766
331,31,60,62,True,False,3,0,0,0.18934890919900021
332,32,75,46,True,False,3,1,0,0.18840216465300522
333,33,92,27,True,False,2,0,0,0.18746015382974018
334,34,78,41,True,False,2,0,0,0.1865228530605915
